hex7,mean_car,total_charger,min_k,min_k_hex,total_number_of_cell,charger_count,cars_density
87195862cffffff,51.333333333333336,2.0,0,87195862cffffff,1.0,2.0,1.3261103723714433e-08
871958752ffffff,470.5833333333333,0.0,1,871958621ffffff,2.0,6.0,1.215672933893107e-07
871958628ffffff,364.0520833333333,0.0,1,87195862effffff,2.0,9.0,9.404673580359085e-08
871958382ffffff,3.0,17.0,0,871958382ffffff,1.0,17.0,7.749995682690253e-10
871958744ffffff,2.5833333333333335,0.0,1,871958771ffffff,2.0,8.0,6.673607393427719e-10
871958656ffffff,352.375,0.0,1,87195860bffffff,1.0,11.0,9.10301576229326e-08
871958761ffffff,535.4614197530864,2.0,0,871958761ffffff,1.0,2.0,1.383274563777871e-07
871958750ffffff,5.208333333333333,0.0,1,871958754ffffff,1.0,6.0,1.3454853615781689e-09
871958619ffffff,36.8125,0.0,1,8719586e4ffffff,2.0,15.0,9.509890535634498e-09
8719586e2ffffff,98.33333333333333,0.0,1,8719586e6ffffff,1.0,7.0,2.540276362659583e-08
8719580ddffffff,19.75,0.0,1,8719580caffffff,1.0,13.0,5.102080491104416e-09
87195875affffff,82.60185185185185,0.0,2,871958666ffffff,2.0,7.0,2.1338799841135724e-08
871958652ffffff,12.75,0.0,2,8719586e4ffffff,2.0,19.0,3.2937481651433576e-09
871958646ffffff,362.6666666666667,0.0,3,871958666ffffff,1.0,5.0,9.368883669741106e-08
871958642ffffff,494.125,0.0,4,871958666ffffff,3.0,19.0,1.2764888722364404e-07
8719580caffffff,188.5625,13.0,0,8719580caffffff,1.0,13.0,4.871195203057603e-08
8719580c8ffffff,6.958333333333333,26.0,0,8719580c8ffffff,1.0,26.0,1.7975684430684336e-09
8719586e1ffffff,10.208333333333334,0.0,2,8719586e4ffffff,3.0,26.0,2.6371513086932114e-09
871958662ffffff,61.75,0.0,1,871958666ffffff,1.0,5.0,1.595207444687077e-08
87195874dffffff,13.75,0.0,2,871958769ffffff,2.0,10.0,3.552081354566366e-09
