chargeDeviceID,reference,name,Latitude,Longitude,subBuildingName,buildingName,buildingNumber,thoroughfare,street,doubleDependantLocality,dependantLocality,town,county,postcode,countryCode,uprn,deviceDescription,locationShortDescription,locationLongDescription,deviceManufacturer,deviceModel,deviceOwnerName,deviceOwnerWebsite,deviceOwnerTelephoneNo,deviceOwnerContactName,deviceControllerName,deviceControllerWebsite,deviceControllerTelephoneNo,deviceControllerContactName,deviceNetworks,chargeDeviceStatus,publishStatus,deviceValidated,dateCreated,dateUpdated,moderated,lastUpdated,lastUpdatedBy,attribution,dateDeleted,paymentRequired,paymentRequiredDetails,subscriptionRequired,subscriptionRequiredDetails,parkingFeesFlag,parkingFeesDetails,parkingFeesUrl,accessRestrictionFlag,accessRestrictionDetails,physicalRestrictionFlag,physicalRestrictionText,onStreetFlag,locationType,bearing,access24Hours,accessMondayFrom,accessMondayTo,accessTuesdayFrom,accessTuesdayTo,accessWednesdayFrom,accessWednesdayTo,accessThursdayFrom,accessThursdayTo,accessFridayFrom,accessFridayTo,accessSaturdayFrom,accessSaturdayTo,accessSundayFrom,accessSundayTo,connector1ID,connector1Type,connector1RatedOutputKW,connector1OutputCurrent,connector1RatedVoltage,connector1ChargeMethod,connector1ChargeMode,connector1TetheredCable,connector1Status,connector1Description,connector1Validated,connector2ID,connector2Type,connector2RatedOutputKW,connector2OutputCurrent,connector2RatedVoltage,connector2ChargeMethod,connector2ChargeMode,connector2TetheredCable,connector2Status,connector2Description,connector2Validated,connector3ID,connector3Type,connector3RatedOutputKW,connector3OutputCurrent,connector3RatedVoltage,connector3ChargeMethod,connector3ChargeMode,connector3TetheredCable,connector3Status,connector3Description,connector3Validated,connector4ID,connector4Type,connector4RatedOutputKW,connector4OutputCurrent,connector4RatedVoltage,connector4ChargeMethod,connector4ChargeMode,connector4TetheredCable,connector4Status,connector4Description,connector4Validated,connector5ID,connector5Type,connector5RatedOutputKW,connector5OutputCurrent,connector5RatedVoltage,connector5ChargeMethod,connector5ChargeMode,connector5TetheredCable,connector5Status,connector5Description,connector5Validated,connector6ID,connector6Type,connector6RatedOutputKW,connector6OutputCurrent,connector6RatedVoltage,connector6ChargeMethod,connector6ChargeMode,connector6TetheredCable,connector6Status,connector6Description,connector6Validated,connector7ID,connector7Type,connector7RatedOutputKW,connector7OutputCurrent,connector7RatedVoltage,connector7ChargeMethod,connector7ChargeMode,connector7TetheredCable,connector7Status,connector7Description,connector7Validated,connector8ID,connector8Type,connector8RatedOutputKW,connector8OutputCurrent,connector8RatedVoltage,connector8ChargeMethod,connector8ChargeMode,connector8TetheredCable,connector8Status,connector8Description,connector8Validated,total_connectors
9f713a6a52c8af8d2122f551e8dca6f1,GBBPCE1127211,Black Rock Training Centre,51.4701,-2.792845,,Avon and Somerset Police,,,Black Rock Training Centre - Avon and Somerse,,,Bristol,Somerset,BS20 8JZ,gb,,,,,Other,,*No Owner,http://www.national-charge-point-registry.uk/,3007770001,,BP Pulse,https://www.bpchargemaster.com,01582 400331,,BP Pulse,In service,Published,0,31/12/2023 17:06,31/12/2023 17:06,N,,,BP Pulse,n/a,0,,0,,0,,,0,,0,,,Other,,1,,,,,,,,,,,,,,,206650,Type 2 Mennekes (IEC62196),4.8,7,220,Single Phase AC,3,0,In service,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
700fddcb72bb6b52f075081e5ad1ad0a,GBBPCE1127212,Black Rock Training Centre,51.4701,-2.792845,,Avon and Somerset Police,,,Black Rock Training Centre - Avon and Somerse,,,Bristol,Somerset,BS20 8JZ,gb,,,,,Other,,*No Owner,http://www.national-charge-point-registry.uk/,3007770001,,BP Pulse,https://www.bpchargemaster.com,01582 400331,,BP Pulse,In service,Published,0,31/12/2023 17:06,31/12/2023 17:06,N,,,BP Pulse,n/a,0,,0,,0,,,0,,0,,,Other,,1,,,,,,,,,,,,,,,206651,Type 2 Mennekes (IEC62196),4.8,7,220,Single Phase AC,3,0,In service,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
41ee3d54f7e48b58026e65f2e4aa665a,GBBPCE1182031,Bristol Audi,51.5252,-2.605415,,,,,"Bristol Audi, Lysander Road, Patchway",,,Bristol,County of Bristol,BS10 7FF,gb,,,,,Other,,*No Owner,http://www.national-charge-point-registry.uk/,3007770001,,BP Pulse,https://www.bpchargemaster.com,01582 400331,,BP Pulse,In service,Published,0,01/01/2024 10:53,01/01/2024 10:53,N,,,BP Pulse,n/a,0,,0,,0,,,0,,0,,,Other,,1,,,,,,,,,,,,,,,208502,CCS Type 2 Combo (IEC62196),350,500,930,DC,4,1,In service,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
bf0ac02f82422f5ea76448b12f3f509b,GBBPCE1182032,Bristol Audi,51.5252,-2.605415,,,,,"Bristol Audi, Lysander Road, Patchway",,,Bristol,County of Bristol,BS10 7FF,gb,,,,,Other,,*No Owner,http://www.national-charge-point-registry.uk/,3007770001,,BP Pulse,https://www.bpchargemaster.com,01582 400331,,BP Pulse,In service,Published,0,01/01/2024 10:53,01/01/2024 10:53,N,,,BP Pulse,n/a,0,,0,,0,,,0,,0,,,Other,,1,,,,,,,,,,,,,,,208503,CCS Type 2 Combo (IEC62196),350,500,930,DC,4,1,In service,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4bef728cf44f6ee697114649e80ae191,GBBPCE615451,DTM Ltd (Bosch service place),51.448597,-2.570181,,,,,"DTM Ltd (Bosch service place), Short Street S",,,Bristol,County of Bristol,BS2 0SW,gb,,,,,Other,,*No Owner,http://www.national-charge-point-registry.uk/,3007770001,,BP Pulse,https://www.bpchargemaster.com,01582 400331,,BP Pulse,In service,Published,0,02/01/2024 08:44,02/01/2024 08:44,N,,,BP Pulse,n/a,0,,0,,0,,,0,,0,,,Other,,1,,,,,,,,,,,,,,,208740,CCS Type 2 Combo (IEC62196),50,125,400,DC,4,1,In service,,0,208741,JEVS G105 (CHAdeMO) DC,50,125,400,DC,4,1,In service,,0,208742,Type 2 Mennekes (IEC62196),43,63,400,Three Phase AC,3,1,In service,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2527d6ee36e5d91ced907633b787976c,GBBPCE774191,Brassmills,51.417503,-2.49212,,,,,"Brassmills, Avon Mill Lane, Keynsham",,,Bristol,Somerset,BS31 2UG,gb,,,,,Other,,*No Owner,http://www.national-charge-point-registry.uk/,3007770001,,BP Pulse,https://www.bpchargemaster.com,01582 400331,,BP Pulse,In service,Published,0,02/01/2024 19:05,02/01/2024 19:05,N,,,BP Pulse,n/a,0,,0,,0,,,0,,0,,,Other,,1,,,,,,,,,,,,,,,209292,CCS Type 2 Combo (IEC62196),50,125,400,DC,4,1,In service,,0,209293,JEVS G105 (CHAdeMO) DC,50,125,400,DC,4,1,In service,,0,209294,Type 2 Mennekes (IEC62196),43,63,400,Three Phase AC,3,1,In service,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
351345f28c627ecce65526fd115467f7,GBBPCE1093432,Hilton Garden Inn,51.452049,-2.58461,,,,,"Hilton Garden Inn, Temple way",,,Bristol,County of Bristol,BS1 6BF,gb,,,,,Other,,*No Owner,http://www.national-charge-point-registry.uk/,3007770001,,BP Pulse,https://www.bpchargemaster.com,01582 400331,,BP Pulse,In service,Published,0,02/01/2024 19:13,02/01/2024 19:13,N,,,BP Pulse,n/a,0,,0,,0,,,0,,0,,,Other,,1,,,,,,,,,,,,,,,209529,Type 2 Mennekes (IEC62196),7,32,230,Single Phase AC,3,0,In service,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
77195c4e029ba71a2e914ba4f867274e,GBBPCE923811,Hilton Garden Inn,51.452049,-2.58461,,,,,"Hilton Garden Inn, Temple way",,,Bristol,County of Bristol,BS1 6BF,gb,,,,,Other,,*No Owner,http://www.national-charge-point-registry.uk/,3007770001,,BP Pulse,https://www.bpchargemaster.com,01582 400331,,BP Pulse,In service,Published,0,02/01/2024 19:13,02/01/2024 19:13,N,,,BP Pulse,n/a,0,,0,,0,,,0,,0,,,Other,,1,,,,,,,,,,,,,,,209530,CCS Type 2 Combo (IEC62196),50,125,400,DC,4,1,In service,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
597dd91e6b177f393877f173f231593f,GBBPCE923812,Hilton Garden Inn,51.452049,-2.58461,,,,,"Hilton Garden Inn, Temple way",,,Bristol,County of Bristol,BS1 6BF,gb,,,,,Other,,*No Owner,http://www.national-charge-point-registry.uk/,3007770001,,BP Pulse,https://www.bpchargemaster.com,01582 400331,,BP Pulse,In service,Published,0,02/01/2024 19:13,02/01/2024 19:13,N,,,BP Pulse,n/a,0,,0,,0,,,0,,0,,,Other,,1,,,,,,,,,,,,,,,209531,JEVS G105 (CHAdeMO) DC,50,125,400,DC,4,1,In service,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
b88f071fefbec84cdcd534fe9ac19b17,GBBPCE1093431,Hilton Garden Inn,51.452049,-2.58461,,,,,"Hilton Garden Inn, Temple way",,,Bristol,County of Bristol,BS1 6BF,gb,,,,,Other,,*No Owner,http://www.national-charge-point-registry.uk/,3007770001,,BP Pulse,https://www.bpchargemaster.com,01582 400331,,BP Pulse,In service,Published,0,02/01/2024 19:13,02/01/2024 19:13,N,,,BP Pulse,n/a,0,,0,,0,,,0,,0,,,Other,,1,,,,,,,,,,,,,,,209532,Type 2 Mennekes (IEC62196),7,32,230,Single Phase AC,3,0,In service,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
